date,nonglu_price,hommali_price,agri_prod_index,crops_prod_index,paddy_prod_index,nonglu_prod_index,hommali_prod_index,agri_price_index,crops_price_index,paddy_price_index,nonglu_price_index,hommali_price_index,agri_export_value,rice_export_value,rice_export_amount,inflation,cpi_rice,pol_rate,neer,reer,sirikit_water,bhumibol_water,fertilizer_1,fertilizer_2,fertilizer_3,fertilizer_4,fertilizer_5,fertilizer_6,water_station_B10,water_station_C13,water_station_C2,water_station_G8,water_station_K10,water_station_K11A,water_station_Kgt3,water_station_Kh103,water_station_Kh58A,water_station_Kh72,water_station_M6A,water_station_M7,water_station_N1,water_station_N67,water_station_Ny1B,water_station_P1,water_station_P17,water_station_S4B,water_station_Sw5A,water_station_Y17,water_station_Y1C
2006-01-01,6696.0,7628.0,109.70389363916244,114.01164705806892,43.580671591608585,72.64970701973333,8.077559328612603,110.37765432828425,113.82177080558004,100.58111795238366,100.6311992786294,99.26905975490727,683.0,183.97,583404.07,78.0,0.2,4.25,89.9,88.19,173.0,147.0,7541.0,12614.0,9826.0,10209.0,13844.0,12433.0,8.54,155.08,1051.11,17.93,376.5444444444445,247.16,11.99,3.44,8.28,15.7,15.06,140.5,66.17,520.0,26.85,38.96,679.63,6.23,97.92,1.24,20.25
2006-02-01,6633.0,7873.0,93.04940896141505,91.75508430825417,46.06222858629124,85.8325603906365,0.0,111.33722804443364,115.39043920338328,101.56314541233841,99.6844003606853,102.45743411777464,757.29,196.49,614377.71,78.1,-0.1,4.25,90.67,89.24,135.0,78.0,7504.0,12547.0,9797.0,10221.0,12338.0,12426.0,8.35,120.0,967.92,8.15,467.3566666666667,237.25,7.59,2.92,8.91,6.21,1.71,87.75,39.02,501.32,26.22,64.11,573.91,4.69,69.55,0.0,13.07
2006-03-01,6649.0,7960.0,92.80377996719574,87.82833978258779,74.51649947459379,138.8543745613608,0.0,112.49807482758838,117.87687640373592,103.06376401074144,99.9248572287346,103.58963236091529,772.41,179.52,542555.76,79.0,0.7,4.5,91.52,90.81,111.0,77.0,7553.0,12611.0,9826.0,10228.0,12431.0,12514.0,5.49,160.97,1003.02,6.04,587.473888888889,270.03,8.2,3.06,9.22,3.34,0.01,108.95,20.94,558.72,42.23,68.26,523.38,2.23,60.02,2.32,35.51
2006-04-01,6880.0,8028.0,75.4523692771586,67.6622861745418,66.21525952000964,123.38580732987727,0.0,115.5951591383035,121.87835648931483,104.90609720979174,103.39645326119626,104.47456891877236,652.2,178.22,557501.92,79.9,0.1,4.75,93.13,92.83,175.0,161.0,7633.0,12729.0,9946.0,10200.0,13915.0,12356.0,15.18,93.38,774.14,13.53,699.43,264.57,33.64,2.32,9.35,3.64,0.53,188.4,45.73,692.79,61.08,84.68,508.65,0.06,76.8,5.84,31.54
2006-05-01,6782.0,8069.0,77.36625951315396,68.99247619029721,35.78548387104688,66.68282885435374,0.0,113.40893659439462,119.72505827638568,104.68787539288975,101.92365494439434,105.00813360806853,765.1,217.33,647719.85,80.5,0.6,4.75,91.45,91.54,468.0,641.0,7571.0,12567.0,10018.0,10276.0,13833.0,12651.0,27.93,886.27,1559.87,41.46,654.38,414.77,69.22,7.19,55.47,4.47,0.0,270.3,94.19,1027.25,44.98,146.19,1092.68,34.64,88.76,168.17,268.37
2006-06-01,6621.0,8160.0,86.06858392360184,76.38477111307242,38.081443257723976,70.96112972601546,0.0,115.68421247133622,124.1672434017775,105.70614347176637,99.50405770964834,106.19238694284785,743.65,171.54,496052.44,80.5,0.4,5.0,91.77,91.76,292.0,519.0,7641.0,12811.0,10171.0,10354.0,12522.0,13017.0,55.63,1998.48,2832.54,32.7,889.07,855.16,89.65,25.77,29.03,18.08,0.0,303.51,88.76,1642.01,57.01,180.21,1118.74,17.38,115.6,817.95,95.83
2006-07-01,6740.0,8353.0,85.24985033141516,75.42531676285752,35.308414881274636,65.79385638967122,0.0,110.0824016107162,117.36381786390551,110.15943851986447,101.29245566576495,108.70404511441274,959.6,272.17,831027.49,80.7,1.1,5.0,92.53,92.87,728.0,705.0,7655.0,12628.0,10085.0,10367.0,12456.0,12791.0,252.07,1839.36,2874.4,37.65,1485.01,1386.56,1142.93,12.82,92.28,21.68,0.0,657.51,440.72,1810.37,172.32,187.32,741.09,77.5,346.16,644.25,172.18
2006-08-01,6632.0,8612.0,97.30567730650613,89.31111023095201,40.9432982870807,76.29392304009349,0.0,105.71453103601323,111.62249374983256,112.9926694935177,99.66937180643221,112.07461229801538,874.9,170.59,461241.42,80.7,2.3,5.0,93.18,93.5,2357.0,1272.0,7637.0,12413.0,10125.0,10433.0,12710.0,13038.0,211.11,1250.44,2682.24,150.75,1871.99,1582.83,688.79,62.74,150.71,65.0,0.22,1975.82,1733.39,1690.04,121.2,422.63,775.58,134.37,623.78,565.75,844.91
2006-09-01,6759.0,8642.0,94.2911984658642,84.72639783008258,46.55440188164526,86.59839967982934,0.0,103.0076506521112,108.11681357842433,115.41155564259753,101.57799819657349,112.46502548530528,860.99,223.9,606246.07,80.4,1.8,5.0,93.94,93.99,1536.0,2762.0,7555.0,12119.0,10158.0,10493.0,12791.0,13146.0,220.37,4197.21,5922.39,241.54,1431.37,1656.42,926.86,68.28,295.81,119.37,150.06,2979.56,808.39,3358.66,105.76,488.76,2484.62,290.74,728.53,1986.0,1039.25
2006-10-01,6655.0,8685.0,97.65729297964592,90.3218095872231,84.9462912440325,127.16342354768804,27.8268335871471,103.86091402671218,109.96523315574878,114.38206493828909,100.01502855425308,113.02461772042078,857.85,248.61,687174.71,80.8,0.9,5.0,94.52,94.96,936.0,1634.0,7562.0,12019.0,10150.0,10519.0,12871.0,13306.0,145.69,9181.05,12952.4,104.09,471.7,910.29,1567.93,106.75,563.67,103.02,1645.28,8063.34,442.98,3905.98,101.51,361.12,3461.1,190.46,417.28,3578.82,403.51
