พ.ศ.,เม.ย.,พ.ค.,มิ.ย.,ก.ค.,ส.ค.,ก.ย.,ต.ค.,พ.ย.,ธ.ค.,ม.ค.,ก.พ.,มี.ค.,"รวม
(ล้าน ลบ.ม.)",station_id,station_name,source_file
2537,,,,,,,,,,,,,,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2538,0.00,13.57,5.27,33.64,323.64,326.18,103.16,25.32,9.68,1.97,2.20,1.64,846.27,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2539,4.04,28.36,28.95,7.74,86.89,259.11,153.53,77.43,17.35,2.14,2.32,0.25,668.10,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2540,6.64,2.37,2.37,35.30,125.24,212.37,197.84,20.58,9.11,0.00,0.00,0.00,611.80,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2541,0.08,3.74,11.58,57.53,93.40,63.98,17.62,5.64,2.70,0.08,0.07,0.06,256.49,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2542,0.84,21.41,38.31,9.56,80.15,240.04,66.98,40.63,12.43,2.66,0.83,0.83,514.67,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2543,8.53,84.98,123.17,143.68,182.06,269.11,111.19,28.02,7.67,0.61,2.69,4.27,965.98,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2544,1.41,18.48,33.93,51.78,195.06,129.46,48.84,33.30,9.10,1.04,0.41,0.30,523.11,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2545,,,,,,,,,,,,,,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2546,11.29,14.42,19.06,24.44,92.89,237.86,27.29,16.81,14.01,2.66,11.38,4.08,476.19,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
